name,place,population,x,y
#Lijnden,village,861.0,112313,485028
#Den Ilp,village,836.0,122434,496178
#Kwadijk,village,793.0,127675,504476
#Warder,village,770.0,130849,508539
#Westbeemster,village,768.0,121911,509830
#Nieuwe Wetering,village,700.0,102457,469333
#Zuidschermer,village,600.0,113821,510906
#Aalsmeerderbrug,village,500.0,111488,476413
#Oostknollendam,village,500.0,114598,503449
#Zwaagdijk-West,village,500.0,132627,520956
#Zuidermeer,village,480.0,127190,519693
#Zunderdorp,village,463.0,126280,491104
#Scharwoude,village,450.0,129681,515065
#Buitenkaag,village,443.0,98490,470528
#Purmerland,village,409.0,123667,499325
#Watergang,village,405.0,125335,494708
#Weteringbrug,village,367.0,104292,470735
#Markenbinnen,village,330.0,113772,504634
#Burgerveen,village,328.0,106762,472683
#Kaag,village,320.0,98351,469786
#Zuiderwoude,village,320.0,131068,493801
#Wogmeer,village,280.0,122633,518209
#Katwoude,village,233.0,131678,497850
#Starnmeer,village,220.0,114776,506117
#Uitdam,village,170.0,133475,492467
#Hobrede,village,160.0,127391,506460
#Zandwerven,village,140.0,125256,521765
#Oosterleek,village,109.0,142173,516807
#Schiphol,village,88.0,112375,480192
#Schiphol-Rijk,village,22.0,111687,476904
#'t Kruis,village,,118334,518305
#Aagtdorp,village,,108809,522612
#Aerdenhout,village,,100761,486420
#Bakkum,village,,105316,508983
#Bergen aan Zee,village,,103770,519469
#Berkmeer,village,,122284,522309
#Bobeldijk,village,,129079,518523
#Boekel,village,,112049,511669
#Bollendorp,village,,108126,511788
#Boomhoek,village,,135089,466676
#Castricum aan Zee,village,,102375,508045
#De Meern,village,,130103,454710
#Driemond,village,,129706,479761
#Durgerdam,village,,127987,487860
#Etersheim,village,,130250,510878
#Grosthuizen,village,,127186,514544
#Haarlemmerliede,village,,107377,489221
Heemskerk,village,,106470,502767
#Heemskerkerduin,village,,104420,502589
#Het Woud,village,,105859,517794
#Holysloot,village,,130409,491825
#Horstermeer,village,,134276,473644
#Kabel,village,,119187,519050
#Kapel,village,,107610,510857
#Koog aan de Zaan,village,,115577,497302
#Limmerkoog,village,,108905,506338
#Muyeveld,village,,133245,466391
#Neck,village,,122901,502310
#Nieuwerbrug aan den Rijn,village,,115570,454536
#Noord-Bakkum,village,,105891,510279
#Noordermeer,village,,127163,520883
#Omval,village,,113470,515058
#Oud-Loosdrecht,village,,134497,468791
#Oud-Maarsseveen,village,,134551,463641
#Overmeer,village,,131729,473922
#Purmer,village,,130085,501712
#Ransdorp,village,,128279,489615
#Rinnegom,village,,105044,513896
#Rustenburg,village,,120488,516436
#Schiphol-Oost,village,,115643,480306
#Stierop,village,,113173,505445
#Stompwijk,village,,92277,456654
#Wadway,village,,127442,522706
#Weipoort,village,,95798,458685
#Westeinde,village,,98407,456805
#Westzaan,village,,113160,497587
#Wilsveen,village,,89162,454498
#Wimmenum,village,,105563,516783
#Zevenhuizen,village,,98276,467805
