d_lt	d_runway	d_myear	d_den	d_period	total
L	06	2002	E	O	3141.00000000
L	06	2002	E	S	4867.00000000
L	06	2002	N	N	5301.00000000
L	06	2002	N	O	2010.00000000
L	06	2003	D	D	2122.00000000
L	06	2003	D	L	18689.00000000
L	06	2003	D	O	4363.00000000
L	06	2003	D	S	12232.00000000
L	06	2003	E	L	6133.00000000
L	06	2003	E	N	1260.00000000
L	06	2003	E	O	3620.00000000
L	06	2003	E	S	5943.00000000
L	06	2003	N	N	6251.00000000
L	06	2003	N	O	2350.00000000
L	06	2004	D	D	1870.00000000
L	06	2004	D	L	16246.00000000
L	06	2004	D	O	3815.00000000
L	06	2004	D	S	10084.00000000
L	06	2004	E	L	5428.00000000
L	06	2004	E	N	1077.00000000
L	06	2004	E	O	2989.00000000
L	06	2004	E	S	4683.00000000
L	06	2004	N	N	5205.00000000
L	06	2004	N	O	1866.00000000
L	06	2005	D	D	2012.00000000
L	06	2005	D	L	17484.00000000
L	06	2005	D	O	4248.00000000
L	06	2005	D	S	11871.00000000
L	06	2005	E	L	5484.00000000
L	06	2005	E	N	1197.00000000
L	06	2005	E	O	3393.00000000
L	06	2005	E	S	5143.00000000
L	06	2005	N	N	5676.00000000
L	06	2005	N	O	2160.00000000
L	06	2006	D	D	1710.00000000
L	06	2006	D	L	15824.00000000
L	06	2006	D	O	3886.00000000
L	06	2006	D	S	10008.00000000
L	06	2006	E	L	5303.00000000
L	06	2006	E	N	1109.00000000
L	06	2006	E	O	3132.00000000
L	06	2006	E	S	5036.00000000
L	06	2006	N	N	5428.00000000
L	06	2006	N	O	2010.00000000
L	06	2007	D	D	2237.00000000
L	06	2007	D	L	19081.00000000
L	06	2007	D	O	3948.00000000
L	06	2007	D	S	12985.00000000
L	06	2007	E	L	5841.00000000
L	06	2007	E	N	1079.00000000
L	06	2007	E	O	3245.00000000
L	06	2007	E	S	5081.00000000
L	06	2007	N	N	5645.00000000
L	06	2007	N	O	2149.00000000
L	06	2008	D	D	1818.00000000
L	06	2008	D	L	15768.00000000
L	06	2008	D	O	3690.00000000
L	06	2008	D	S	10300.00000000
L	06	2008	E	L	4694.00000000
L	06	2008	E	N	923.00000000
L	06	2008	E	O	2720.00000000
L	06	2008	E	S	4471.00000000
L	06	2008	N	N	4892.00000000
L	06	2008	N	O	1786.00000000
L	06	2009	D	D	1895.00000000
L	06	2009	D	L	16707.00000000
L	06	2009	D	O	3659.00000000
L	06	2009	D	S	10736.00000000
L	06	2009	E	L	5041.00000000
L	06	2009	E	N	1071.00000000
L	06	2009	E	O	2980.00000000
L	06	2009	E	S	4641.00000000
L	06	2009	N	N	5452.00000000
L	06	2009	N	O	2021.00000000
L	06	2010	D	D	2451.00000000
L	06	2010	D	L	21304.00000000
L	06	2010	D	O	5337.00000000
L	06	2010	D	S	14017.00000000
L	06	2010	E	L	6467.00000000
L	06	2010	E	N	1432.00000000
L	06	2010	E	O	3878.00000000
L	06	2010	E	S	5948.00000000
L	06	2010	N	N	6781.00000000
L	06	2010	N	O	2562.00000000
L	06	2011	D	D	1659.00000000
L	06	2011	D	L	14802.00000000
L	06	2011	D	O	3667.00000000
L	06	2011	D	S	9561.00000000
L	06	2011	E	L	4833.00000000
L	06	2011	E	N	966.00000000
L	06	2011	E	O	2735.00000000
L	06	2011	E	S	4575.00000000
