d_lt	d_runway	d_myear	d_den	d_period	total
L	06	1995	D	L	16012.00000000
L	06	1995	D	O	3849.00000000
L	06	1995	D	S	13707.00000000
L	06	1995	E	L	4885.00000000
L	06	1995	E	N	991.00000000
L	06	1995	E	O	3851.00000000
L	06	1995	E	S	5890.00000000
L	06	1995	N	N	6799.00000000
L	06	1995	N	O	1439.00000000
L	06	1996	D	D	2537.00000000
L	06	1996	D	L	18272.00000000
L	06	1996	D	O	5429.00000000
L	06	1996	D	S	14663.00000000
L	06	1996	E	L	5774.00000000
L	06	1996	E	N	1184.00000000
L	06	1996	E	O	4536.00000000
L	06	1996	E	S	6464.00000000
L	06	1996	N	N	7468.00000000
L	06	1996	N	O	1775.00000000
L	06	1997	D	D	2338.00000000
L	06	1997	D	L	16500.00000000
L	06	1997	D	O	4056.00000000
L	06	1997	D	S	13126.00000000
L	06	1997	E	L	5116.00000000
L	06	1997	E	N	933.00000000
L	06	1997	E	O	4015.00000000
L	06	1997	E	S	5472.00000000
L	06	1997	N	N	6823.00000000
L	06	1997	N	O	1728.00000000
L	06	1998	D	D	1650.00000000
L	06	1998	D	L	11313.00000000
L	06	1998	D	O	3010.00000000
L	06	1998	D	S	9148.00000000
L	06	1998	E	L	3534.00000000
L	06	1998	E	N	719.00000000
L	06	1998	E	O	2934.00000000
L	06	1998	E	S	4331.00000000
L	06	1998	N	N	4857.00000000
L	06	1998	N	O	1106.00000000
L	06	1999	D	D	2013.00000000
L	06	1999	D	L	13962.00000000
L	06	1999	D	O	3147.00000000
L	06	1999	D	S	10895.00000000
L	06	1999	E	L	4359.00000000
L	06	1999	E	N	910.00000000
L	06	1999	E	O	3651.00000000
L	06	1999	E	S	5193.00000000
L	06	1999	N	N	5745.00000000
L	06	1999	N	O	1441.00000000
L	06	2000	D	D	1681.00000000
L	06	2000	D	L	10322.00000000
L	06	2000	D	O	2611.00000000
L	06	2000	D	S	9031.00000000
L	06	2000	E	L	3366.00000000
L	06	2000	E	N	759.00000000
L	06	2000	E	O	2934.00000000
L	06	2000	E	S	4080.00000000
L	06	2000	N	N	5167.00000000
L	06	2000	N	O	1233.00000000
L	06	2001	D	D	1982.00000000
L	06	2001	D	L	14440.00000000
L	06	2001	D	O	4453.00000000
L	06	2001	D	S	11318.00000000
L	06	2001	E	L	4391.00000000
L	06	2001	E	N	836.00000000
L	06	2001	E	O	3435.00000000
L	06	2001	E	S	4923.00000000
L	06	2001	N	N	6341.00000000
L	06	2001	N	O	1658.00000000
L	06	2002	D	D	2390.00000000
L	06	2002	D	L	15634.00000000
L	06	2002	D	O	3782.00000000
L	06	2002	D	S	13025.00000000
L	06	2002	E	L	4819.00000000
L	06	2002	E	N	863.00000000
L	06	2002	E	O	3694.00000000
L	06	2002	E	S	5311.00000000
L	06	2002	N	N	6167.00000000
L	06	2002	N	O	1483.00000000
L	06	2003	D	D	2275.00000000
L	06	2003	D	L	16502.00000000
L	06	2003	D	O	4415.00000000
L	06	2003	D	S	12796.00000000
L	06	2003	E	L	5143.00000000
L	06	2003	E	N	936.00000000
L	06	2003	E	O	3961.00000000
L	06	2003	E	S	6122.00000000
L	06	2003	N	N	6671.00000000
L	06	2003	N	O	1595.00000000
L	06	2004	D	D	1959.00000000
L	06	2004	D	L	13752.00000000
L	06	2004	D	O	3596.00000000
L	06	2004	D	S	10822.00000000
L	06	2004	E	L	4632.00000000
L	06	2004	E	N	833.00000000
L	06	2004	E	O	3409.00000000
L	06	2004	E	S	4926.00000000
L	06	2004	N	N	5700.00000000
L	06	2004	N	O	1498.00000000
L	06	2005	D	D	2099.00000000
L	06	2005	D	L	14361.00000000
L	06	2005	D	O	4136.00000000
L	06	2005	D	S	11920.00000000
L	06	2005	E	L	4173.00000000
L	06	2005	E	N	906.00000000
L	06	2005	E	O	3855.00000000
L	06	2005	E	S	5258.00000000
L	06	2005	N	N	6111.00000000
L	06	2005	N	O	1578.00000000
L	06	2006	D	D	1769.00000000
L	06	2006	D	L	13113.00000000
L	06	2006	D	O	4114.00000000
L	06	2006	D	S	10385.00000000
L	06	2006	E	L	4124.00000000
L	06	2006	E	N	846.00000000
L	06	2006	E	O	3561.00000000
L	06	2006	E	S	5127.00000000
L	06	2006	N	N	5936.00000000
L	06	2006	N	O	1429.00000000
L	06	2007	D	D	2451.00000000
L	06	2007	D	L	17184.00000000
L	06	2007	D	O	3899.00000000
L	06	2007	D	S	14137.00000000
L	06	2007	E	L	4863.00000000
L	06	2007	E	N	908.00000000
L	06	2007	E	O	3736.00000000
L	06	2007	E	S	5610.00000000
L	06	2007	N	N	6392.00000000
L	06	2007	N	O	1668.00000000
L	06	2008	D	D	2142.00000000
L	06	2008	D	L	14709.00000000
L	06	2008	D	O	3545.00000000
L	06	2008	D	S	11385.00000000
L	06	2008	E	L	4077.00000000
L	06	2008	E	N	730.00000000
L	06	2008	E	O	3209.00000000
L	06	2008	E	S	4643.00000000
L	06	2008	N	N	5511.00000000
L	06	2008	N	O	1356.00000000
L	06	2009	D	D	1941.00000000
L	06	2009	D	L	14320.00000000
L	06	2009	D	O	3505.00000000
L	06	2009	D	S	10998.00000000
L	06	2009	E	L	4500.00000000
L	06	2009	E	N	864.00000000
L	06	2009	E	O	3251.00000000
L	06	2009	E	S	4902.00000000
L	06	2009	N	N	5786.00000000
L	06	2009	N	O	1509.00000000
L	06	2010	D	D	2574.00000000
L	06	2010	D	L	17018.00000000
L	06	2010	D	O	5230.00000000
L	06	2010	D	S	14833.00000000
L	06	2010	E	L	5223.00000000
L	06	2010	E	N	1137.00000000
L	06	2010	E	O	4426.00000000
L	06	2010	E	S	6186.00000000
L	06	2010	N	N	7427.00000000
L	06	2010	N	O	1936.00000000
L	06	2011	D	D	1782.00000000
L	06	2011	D	L	12832.00000000
L	06	2011	D	O	3566.00000000
L	06	2011	D	S	10225.00000000
L	06	2011	E	L	4218.00000000
L	06	2011	E	N	760.00000000
L	06	2011	E	O	3179.00000000
L	06	2011	E	S	4916.00000000
L	06	2011	N	N	5569.00000000
L	06	2011	N	O	1383.00000000
L	06	2012	D	D	1813.00000000
L	06	2012	D	L	13085.00000000
L	06	2012	D	O	3150.00000000
L	06	2012	D	S	10461.00000000
L	06	2012	E	L	4096.00000000
L	06	2012	E	N	820.00000000
L	06	2012	E	O	3338.00000000
L	06	2012	E	S	4601.00000000
L	06	2012	N	N	5529.00000000
L	06	2012	N	O	1375.00000000
L	06	2013	D	D	2616.00000000
L	06	2013	D	L	19882.00000000
L	06	2013	D	O	4984.00000000
L	06	2013	D	S	15509.00000000
L	06	2013	E	L	6046.00000000
L	06	2013	E	N	1057.00000000
L	06	2013	E	O	4169.00000000
L	06	2013	E	S	6306.00000000
L	06	2013	N	N	6795.00000000
L	06	2013	N	O	1964.00000000
L	06	2014	D	D	1909.00000000
L	06	2014	D	L	13779.00000000
L	06	2014	D	O	2882.00000000
L	06	2014	D	S	10737.00000000
L	06	2014	E	L	4093.00000000
L	06	2014	E	N	843.00000000
L	06	2014	E	O	3344.00000000
L	06	2014	E	S	4935.00000000
L	06	2014	N	N	6075.00000000
L	06	2014	N	O	1499.00000000
L	06	2015	D	D	1906.00000000
L	06	2015	D	L	12730.00000000
L	06	2015	D	O	2906.00000000
L	06	2015	D	S	10477.00000000
L	06	2015	E	L	3889.00000000
L	06	2015	E	N	875.00000000
L	06	2015	E	O	3155.00000000
L	06	2015	E	S	4818.00000000
L	06	2015	N	N	5484.00000000
L	06	2015	N	O	1374.00000000
L	06	2016	D	D	2115.00000000
L	06	2016	D	L	15929.00000000
L	06	2016	D	O	3605.00000000
L	06	2016	D	S	11755.00000000
L	06	2016	E	L	4658.00000000
L	06	2016	E	N	880.00000000
L	06	2016	E	O	3271.00000000
L	06	2016	E	S	4692.00000000
L	06	2016	N	N	5264.00000000
L	06	2016	N	O	1430.00000000
L	09	1971	D	D	3.00000000
L	09	1971	D	L	58.00000000
L	09	1971	E	L	29.00000000
L	09	1972	D	D	20.00000000
L	09	1972	D	L	54.00000000
L	09	1972	N	O	3.00000000
L	09	1973	D	D	40.00000000
L	09	1973	D	L	137.00000000
L	09	1973	D	O	7.00000000
L	09	1973	D	S	23.00000000
L	09	1973	E	L	12.00000000
L	09	1973	E	O	6.00000000
L	09	1974	D	D	13.00000000
L	09	1974	D	L	57.00000000
L	09	1975	D	D	49.00000000
L	09	1975	D	L	40.00000000
L	09	1975	E	L	27.00000000
L	09	1975	N	O	3.00000000
L	09	1976	D	D	32.00000000
L	09	1976	D	L	13.00000000
L	09	1976	E	L	9.00000000
L	09	1977	E	N	5.00000000
L	09	1977	E	O	16.00000000
L	09	1977	N	N	13.00000000
L	09	1978	D	D	7.00000000
L	09	1978	D	L	33.00000000
L	09	1978	D	O	11.00000000
L	09	1978	D	S	9.00000000
L	09	1978	E	L	21.00000000
L	09	1978	E	S	19.00000000
L	09	1978	N	O	5.00000000
L	09	1979	D	D	2.00000000
L	09	1979	D	L	52.00000000
L	09	1979	D	S	10.00000000
L	09	1979	N	O	16.00000000
L	09	1980	D	D	5.00000000
L	09	1980	D	L	32.00000000
L	09	1980	D	O	4.00000000
L	09	1980	D	S	20.00000000
L	09	1980	E	L	11.00000000
L	09	1980	E	O	5.00000000
L	09	1981	D	D	1.00000000
L	09	1981	D	L	7.00000000
L	09	1981	E	L	3.00000000
L	09	1982	D	L	48.00000000
L	09	1982	E	L	16.00000000
L	09	1983	D	D	12.00000000
L	09	1983	D	L	34.00000000
L	09	1984	D	L	56.00000000
L	09	1984	D	O	21.00000000
L	09	1985	D	D	2.00000000
L	09	1985	D	L	20.00000000
L	09	1985	E	L	11.00000000
L	09	1985	E	O	10.00000000
L	09	1986	D	D	44.00000000
L	09	1986	D	L	7.00000000
L	09	1986	D	O	12.00000000
L	09	1986	E	O	4.00000000
L	09	1988	D	D	12.00000000
L	09	1988	D	L	47.00000000
L	09	1988	E	L	10.00000000
L	09	1989	D	L	40.00000000
L	09	1989	D	O	7.00000000
L	09	1989	E	L	6.00000000
L	09	1990	D	L	29.00000000
L	09	1990	E	O	7.00000000
L	09	1991	D	D	1.00000000
L	09	1991	D	L	9.00000000
L	09	1991	E	L	8.00000000
L	09	1992	D	D	33.00000000
L	09	1992	D	L	117.00000000
L	09	1992	D	S	11.00000000
L	09	1992	E	L	5.00000000
L	09	1993	D	D	12.00000000
L	09	1993	D	L	150.00000000
L	09	1993	D	S	69.00000000
L	09	1993	E	L	41.00000000
L	09	1994	D	D	1.00000000
L	09	1994	D	L	117.00000000
L	09	1994	D	O	72.00000000
L	09	1994	D	S	57.00000000
L	09	1994	E	L	212.00000000
L	09	1994	E	N	9.00000000
L	09	1994	E	O	38.00000000
L	09	1994	E	S	66.00000000
L	09	1994	N	N	22.00000000
L	09	1995	D	D	50.00000000
L	09	1996	D	D	18.00000000
L	09	1996	D	L	64.00000000
L	09	1996	D	O	34.00000000
L	09	1996	D	S	5.00000000
L	09	1996	E	L	69.00000000
L	09	1996	N	O	8.00000000
L	09	1997	D	D	3.00000000
L	09	1997	D	L	74.00000000
L	09	1997	E	L	14.00000000
L	09	1998	D	D	5.00000000
L	09	1998	D	L	48.00000000
L	09	1998	E	L	8.00000000
L	09	1999	D	D	5.00000000
L	09	1999	D	L	37.00000000
L	09	1999	E	O	8.00000000
L	09	2000	D	D	23.00000000
L	09	2000	D	L	28.00000000
L	09	2000	D	O	4.00000000
L	09	2000	E	N	7.00000000
L	09	2000	E	O	24.00000000
L	09	2001	D	D	23.00000000
L	09	2001	D	L	50.00000000
L	09	2001	D	O	5.00000000
L	09	2001	N	O	8.00000000
L	09	2002	D	D	16.00000000
L	09	2002	D	L	6.00000000
L	09	2002	E	L	85.00000000
L	09	2003	D	D	24.00000000
L	09	2003	D	L	55.00000000
L	09	2004	D	D	6.00000000
L	09	2004	E	L	5.00000000
L	09	2005	D	D	17.00000000
L	09	2005	D	L	164.00000000
L	09	2005	D	O	16.00000000
L	09	2005	E	L	16.00000000
L	09	2005	N	O	6.00000000
L	09	2006	D	D	11.00000000
L	09	2006	D	L	12.00000000
L	09	2006	D	O	12.00000000
L	09	2006	E	L	5.00000000
L	09	2007	D	L	98.00000000
L	09	2007	E	L	24.00000000
L	09	2008	D	D	4.00000000
