d_lt	d_runway	d_myear	d_den	d_period	total
L	18R	1976	E		17549.59568800
L	18R	1976	N		8885.37419000
L	18R	1977	D		62562.76567400
L	18R	1977	E		19622.56403000
L	18R	1977	N		10398.77777000
L	18R	1978	D		61729.16989800
L	18R	1978	E		20014.31396800
L	18R	1978	N		10203.73048000
L	18R	1979	D		66245.81624200
L	18R	1979	E		20757.73712400
L	18R	1979	N		10903.24563000
L	18R	1980	D		58835.63071400
L	18R	1980	E		18743.88194400
L	18R	1980	N		9957.62369000
L	18R	1981	D		61192.14185000
L	18R	1981	E		18909.19841400
L	18R	1981	N		10148.58622000
L	18R	1982	D		66022.38852800
L	18R	1982	E		21157.50240600
L	18R	1982	N		10598.93101000
L	18R	1983	D		63926.37607200
L	18R	1983	E		19722.75583000
L	18R	1983	N		10188.41263000
L	18R	1984	D		58218.44922600
L	18R	1984	E		18036.52783600
L	18R	1984	N		9579.78339000
L	18R	1985	D		64943.32284200
L	18R	1985	E		21182.55035600
L	18R	1985	N		11568.04032000
L	18R	1986	D		61833.36937000
L	18R	1986	E		19298.94451600
L	18R	1986	N		10380.39635000
L	18R	1987	D		61690.09509600
L	18R	1987	E		19908.11066000
L	18R	1987	N		10504.98153000
L	18R	1988	D		64049.61198600
L	18R	1988	E		19625.56978400
L	18R	1988	N		10802.14782000
L	18R	1989	D		60283.40222400
L	18R	1989	E		17997.45303400
L	18R	1989	N		10471.28226000
L	18R	1990	D		62519.68320000
L	18R	1990	E		18937.25211800
L	18R	1990	N		10473.32464000
L	18R	1991	D		60341.51346800
L	18R	1991	E		18964.30390400
L	18R	1991	N		9598.16481000
L	18R	1992	D		63521.60120000
L	18R	1992	E		20685.59902800
L	18R	1992	N		10584.63435000
L	18R	1993	D		61647.01262200
L	18R	1993	E		18218.87691200
L	18R	1993	N		10096.50553000
L	18R	1994	D		62548.73882200
L	18R	1994	E		19460.25331400
L	18R	1994	N		10265.00188000
L	18R	1995	D		54376.09369600
L	18R	1995	E		17120.77478400
L	18R	1995	N		8984.42962000
L	18R	1996	D		55136.54945800
L	18R	1996	E		16225.06009200
L	18R	1996	N		9367.37587000
L	18R	1997	D		61300.34899400
L	18R	1997	E		18544.50026200
L	18R	1997	N		10040.34008000
L	18R	1998	D		67483.18497200
L	18R	1998	E		21196.57720800
L	18R	1998	N		11483.28155000
L	18R	1999	D		63904.33387600
L	18R	1999	E		19844.98982600
L	18R	1999	N		10690.83811000
L	18R	2000	D		68384.91117200
L	18R	2000	E		21823.77787600
L	18R	2000	N		11343.37852000
L	18R	2001	D		59080.09870600
L	18R	2001	E		19107.57817800
L	18R	2001	N		10366.09969000
L	18R	2002	D		61829.36169800
L	18R	2002	E		19544.41442600
L	18R	2002	N		10139.39551000
L	18R	2003	D		59040.02198600
L	18R	2003	E		17996.45111600
L	18R	2003	N		9545.06293000
L	18R	2004	D		62672.97665400
L	18R	2004	E		19278.90615600
L	18R	2004	N		10318.10376000
L	18R	2005	D		57818.68394400
L	18R	2005	E		18410.24325000
L	18R	2005	N		10228.23904000
L	18R	2006	D		64129.76542600
L	18R	2006	E		19857.01284200
L	18R	2006	N		10288.48925000
L	18R	2007	D		57449.97812000
L	18R	2007	E		18847.07949800
L	18R	2007	N		10046.46722000
L	18R	2008	D		66623.53932800
L	18R	2008	E		21498.15452600
L	18R	2008	N		10986.98321000
L	18R	2009	D		64808.06391200
L	18R	2009	E		20749.72178000
L	18R	2009	N		11051.31818000
L	18R	2010	D		54997.28285600
L	18R	2010	E		16256.11955000
L	18R	2010	N		9219.30332000
L	22	1971	D		1543.95563800
L	22	1971	E		399.76528200
L	22	1971	N		7.14833000
L	22	1972	D		2033.89354000
L	22	1972	E		452.86693600
L	22	1972	N		10.21190000
L	22	1973	D		1902.64228200
L	22	1973	E		443.84967400
L	22	1973	N		7.14833000
L	22	1974	D		2661.09420800
L	22	1974	E		376.72116800
L	22	1974	N		24.50856000
L	22	1975	D		1635.13017600
L	22	1975	E		633.21217600
L	22	1975	N		24.50856000
L	22	1976	D		1549.96714600
L	22	1976	E		388.74418400
L	22	1976	N		37.78403000
L	22	1977	D		2583.94652200
L	22	1977	E		637.21984800
L	22	1977	N		67.39854000
L	22	1978	D		2001.83216400
L	22	1978	E		410.78638000
L	22	1978	N		19.40261000
L	22	1979	D		2435.66265800
L	22	1979	E		483.92639400
L	22	1979	N		7.14833000
L	22	1980	D		2033.89354000
L	22	1980	E		530.01462200
L	22	1980	N		4.08476000
L	22	1981	D		2121.06040600
L	22	1981	E		555.06257200
L	22	1981	N		46.97474000
L	22	1982	D		2204.21960000
L	22	1982	E		466.89378800
L	22	1982	N		47.99593000
L	22	1983	D		2899.55069200
L	22	1983	E		413.79213400
L	22	1983	N		23.48737000
L	22	1984	D		2128.07383200
L	22	1984	E		373.71541400
L	22	1984	N		25.52975000
L	22	1985	D		2237.28289400
L	22	1985	E		457.87652600
L	22	1985	N		22.46618000
L	22	1986	D		2894.54110200
L	22	1986	E		702.34451800
L	22	1986	N		21.44499000
L	22	1987	D		2196.20425600
L	22	1987	E		380.72884000
L	22	1987	N		10.21190000
L	22	1988	D		2868.49123400
L	22	1988	E		708.35602600
L	22	1988	N		32.67808000
L	22	1989	D		1981.79380400
L	22	1989	E		739.41548400
L	22	1989	N		24.50856000
L	22	1990	D		2949.64659200
L	22	1990	E		738.41356600
L	22	1990	N		45.95355000
L	22	1991	D		2886.52575800
L	22	1991	E		513.98393400
L	22	1991	N		88.84353000
L	22	1992	D		2653.07886400
L	22	1992	E		630.20642200
L	22	1992	N		4.08476000
L	22	1993	D		3003.75016400
L	22	1993	E		1027.96786800
L	22	1993	N		88.84353000
L	22	1994	D		3578.85109600
L	22	1994	E		1172.24406000
L	22	1994	N		54.12307000
L	22	1995	D		2221.25220600
L	22	1995	E		486.93214800
L	22	1995	N		90.88591000
L	22	1996	D		1614.08989800
L	22	1996	E		565.08175200
L	22	1996	N		6.12714000
L	22	1997	D		2745.25532000
L	22	1997	E		573.09709600
L	22	1997	N		25.52975000
L	22	1998	D		2564.91008000
L	22	1998	E		634.21409400
L	22	1998	N		46.97474000
L	22	1999	D		2762.28792600
L	22	1999	E		598.14504600
L	22	1999	N		28.59332000
L	22	2000	D		2726.21887800
L	22	2000	E		589.12778400
L	22	2000	N		71.48330000
L	22	2001	D		1779.40636800
L	22	2001	E		406.77870800
L	22	2001	N		19.40261000
L	22	2002	D		2917.58521600
L	22	2002	E		584.11819400
L	22	2002	N		22.46618000
L	22	2003	D		1757.36417200
L	22	2003	E		300.57540000
L	22	2003	N		18.38142000
