icao_aircraft,iata_aircraft,icao_airline,iata_airline,ac_cat,wtc,safety_cat,mtow,motor,comment
L29B,,,,2/2,,1,0,,
L410,,,,1/3,,2,0,,
LGEZ,,,,004,,4,0,,
LJ23,,,,,,0,0,,
LJ24,,,,1/1,,2,0,,
LJ25,,,,,,0,0,,
LJ31,,,,1/4,,2,7,,
LJ35,,,,1/4,,2,8,,
LJ40,,,,1/4,,3,10,,
LJ45,,,,1/4,,3,10,,
LJ55,,,,1/3,,3,10,,
LJ60,,,,1/4,,3,11,,
LNC2,,,,004,,4,0,,
LR31,,,,,,0,0,,
LYNX,,,,012,,0,6,,
M20P,,,,004,,4,2,,
M20T,,,,004,,4,2,,
MD11,M1F,,,7/3,,3,286,,
MD11,M11,,,7/3,,3,286,,
MD52,,,,010,,0,0,,
MD81,M81,,,4/3,,3,68,,
MD82,,,,4/3,,3,68,,
MD83,,,,4/2,,3,73,,
MD87,M87,,,4/3,,3,68,,
MD88,,,,4/3,,3,0,,
MD90,,,,4/4,,3,0,,
MI26,,,,014,,0,0,,
MS76,,,,004,,4,0,,
MU2,,,,004,,4,6,,
MU30,,,,1/4,,2,0,,
N260,,,,,,0,0,,
N262,,,,,,1,0,,
NIM,,,,,,0,0,,
NOMA,,,,004,,4,0,,
P149,,,,004,,4,0,,
P180,,,,004,,4,5,,
P28A,,,,004,,4,1,,
P28B,,,,004,,4,0,,
P28R,,,,004,,4,1,,
P28T,,,,004,,4,1,,
P3,,,,,,0,0,,
P32R,,,,004,,4,0,,
P32T,,,,004,,4,0,,
P337,,,,004,,4,0,,
P46T,,,,004,,4,0,,
P68,,,,004,,4,2,,
PA18,,,,004,,4,0,,
PA23,,,,004,,4,0,,
PA24,,,,004,,4,0,,
PA27,,,,004,,4,0,,
PA30,,,,004,,4,2,,
PA31,,,,004,,4,3,,
PA32,,,,004,,4,2,,
PA34,,,,004,,4,2,,
PA38,,,,004,,4,0,,
PA44,,,,004,,4,2,,
PA46,,,,004,,4,2,,
PAT4,,,,004,,4,0,,
PAY1,,,,004,,4,0,,
PAY2,,,,004,,4,4,,
PAY3,,,,004,,4,0,,
PAY4,,,,004,,4,0,,
PC12,,,,004,,4,5,,
PC6T,,,,004,,4,0,,
PC7,,,,004,,3,3,,
PINO,,,,004,,4,0,,
PL12,,,,004,,4,0,,
PRM1,,,,004,,4,6,,
PTS2,,,,004,,4,0,,
PUMA,,,,014,,0,9,,
R200,,,,004,,4,1,,
R22,,,,010,,0,0,,
R300,,,,004,,4,0,,
R44,,,,010,,0,1,,
RF6,,,,004,,4,0,,
RJ1H,AR1,,,3/3,,3,46,,
RJ70,AR7,,,3/3,,3,43,,
RJ85,AR8,,,3/3,,3,44,,
RV8,,,,004,,4,0,,
S11,,,,004,,4,1,,
S2P,,,,,,0,0,,
S330,,,,010,,0,0,,
S360,,,,010,,0,0,,
S601,,,,1/4,,1,0,,
S61,,,,014,,0,9,,
S61R,,,,014,,0,0,,
S65C,,,,012,,0,0,,
S76,,,,012,,0,5,,
SB20,S20,,,2/4,,3,23,,
SB91,,,,004,,4,0,,
SBR1,,,,1/1,,1,0,,
SBR2,,,,1/3,,1,0,,
SC01,,,,004,,0,0,,
SC7,,,,,,0,6,,
SF2,,,,004,,4,0,,
SF34,,,,1/3,,3,13,,
SGUP,,,,,,0,0,,
